Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DgrBpNn6RRMA,624945708014,2022-08-07T03:24:40Z,405-2290434-5973102,Pickup,Not Available,
DMJJpbnrRRMA,624945071712,2022-08-06T16:12:01Z,405-9842653-2569968,Pickup,Not Available,
D3xsm5nwRRMA,624870542868,2022-07-11T18:37:57Z,405-6009195-0429146,Pickup,Not Available,
DG8Fl2nrRRMA,513331424280,2022-07-07T16:11:52Z,405-8438416-8507561,SellerAMZLPickup,Not Available,
DCL6lxnkRRMA,624849318265,2022-07-03T14:56:30Z,403-7039486-3364337,Pickup,Not Available,
DDGCljnhRRMA,624849301274,2022-07-03T14:46:43Z,403-8759623-4849960,Pickup,Not Available,
D6N703nNRRMA,624841200025,2022-06-30T08:43:54Z,403-9545551-8545165,Pickup,Not Available,
Dwjx07nbRRMA,513321151264,2022-06-29T04:49:00Z,403-2135723-9139560,SellerAMZLPickup,Not Available,
D6DQSknLRRMA,513309802492,2022-06-19T10:56:08Z,405-4823927-2866769,SellerAMZLPickup,Not Available,
D10LS0nPRRMA,624802014111,2022-06-14T17:33:47Z,405-2123349-2864354,Pickup,Not Available,
DPPXSZndRRMA,513301960398,2022-06-12T17:59:00Z,405-9600495-3731553,SellerAMZLPickup,Not Available,
Dn556hngRRMA,513300827104,2022-06-11T15:45:35Z,405-9600495-3731553,SellerAMZLPickup,Not Available,
D3CL63nxRRMA,513293099779,2022-06-05T14:25:16Z,405-9600495-3731553,SellerAMZLPickup,Not Available,
Dc0s6MndRRMA,513292604851,2022-06-05T06:35:31Z,405-4827803-4449953,SellerAMZLPickup,Not Available,
D10T69nGRRMA,513292607371,2022-06-05T06:28:02Z,405-4827803-4449953,SellerAMZLPickup,Not Available,
DXdm65n9RRMA,513291386307,2022-06-04T05:22:25Z,405-9600495-3731553,SellerAMZLPickup,Not Available,
DbdK6Zn9RRMA,513291390434,2022-06-04T05:19:28Z,405-1075052-5489912,SellerAMZLPickup,Not Available,
D3Pm6Jn9RRMA,624772466378,2022-06-02T12:42:53Z,405-6827483-8969967,Pickup,Not Available,
DgKWdQnfRRMA,513289648721,2022-06-02T12:15:28Z,405-4827803-4449953,SellerAMZLPickup,Not Available,
D9K0dGnWRRMA,513289606677,2022-06-02T11:35:25Z,408-3775261-2517921,SellerAMZLPickup,Not Available,
D3XgdqncRRMA,513289250320,2022-06-02T06:45:47Z,408-3775261-2517921,SellerAMZLPickup,Not Available,
DC7mdjnZRRMA,624766220849,2022-05-31T02:28:07Z,405-6827483-8969967,Pickup,Not Available,
DJ26ddnWRRMA,624763646710,2022-05-30T01:07:39Z,405-6827483-8969967,Pickup,Not Available,
DnsfdZn7RRMA,513280200430,2022-05-25T09:52:15Z,405-2741372-9249902,Pickup,Not Available,
DbNRGXn4RRMA,513276904243,2022-05-22T17:23:51Z,405-9115831-8263530,SellerAMZLPickup,Not Available,
DzX4tWnGRRMA,624724423879,2022-05-14T01:32:33Z,405-8038446-0127529,Pickup,Not Available,
DmmvtbnVRRMA,513264199897,2022-05-12T07:36:54Z,405-2066062-9864323,SellerAMZLPickup,Not Available,
DJmftrnVRRMA,513264199255,2022-05-12T07:35:49Z,405-3592168-0345905,SellerAMZLPickup,Not Available,
DVQwtln3RRMA,513260746552,2022-05-09T12:02:09Z,405-6214361-1117169,SellerAMZLPickup,Not Available,
DXJttqnnRRMA,624704260746,2022-05-06T05:35:25Z,405-4759439-5005142,Pickup,Not Available,
DnZ6PbnmRRMA,624689951301,2022-04-30T06:09:18Z,405-5061547-6364335,Pickup,Not Available,
DGZCPFnzRRMA,624689455564,2022-04-30T02:04:11Z,405-0318005-0357940,Pickup,Not Available,
DmwdTvnHRRMA,513237926406,2022-04-20T07:02:55Z,405-8622825-6578748,SellerAMZLPickup,Not Available,
D0f4TvnnRRMA,Not Available,2022-04-17T11:13:47Z,406-4172823-4861953,Pickup,Not Available,
DJd2THnyRRMA,624655128317,2022-04-16T02:40:37Z,406-4172823-4861953,Pickup,Not Available,
DwnwTMn9RRMA,Not Available,2022-04-14T14:03:37Z,405-4210051-0710749,Pickup,Not Available,
DzNJncn2RRMA,14931115000944,2022-04-13T06:50:14Z,405-3563076-5789919,DLV_Lenient_PickupIN,Not Available,
DVW1nvngRRMA,558904765,2022-04-09T07:10:07Z,406-6859587-8752361,EcomexPickupIN,Not Available,
